strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
OQ274883	OQ274883	OQ274883.1	MPXV/Germany/2022/ON/RKI664	2022-05-XX	Europe	Germany			Homo sapiens	2023-01-24		Brinkmann et al		IIb	hMPXV-1	B.1.5	0.9653768337144856	327.0	578.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses
OQ274886	OQ274886	OQ274886.1	MPXV/Germany/2022/ON/RKI667	2022-05-XX	Europe	Germany			Homo sapiens	2023-01-24		Brinkmann et al		IIb	hMPXV-1	B.1.5	0.9647379176406756	442.0	578.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses
ON649717	ON649717	ON649717.1	Monkeypox/PT0019/2022	2022-05-21	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		IIb	hMPXV-1	B.1	0.998676530989965	261.0	606.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
OP414382	OP414382	OP414382.1	Monkeypox/PT0355/2022	2022-05-22	Europe	Portugal			Homo sapiens	2022-09-12		Isidro et al		IIb	hMPXV-1	B.1	0.9595150322754032	7244.0	591.0	0.0	mediocre	good	good	good	good	OPG044:146-150	False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases
OP414375	OP414375	OP414375.1	Monkeypox/PT0346/2022	2022-05-26	Europe	Portugal			Homo sapiens	2022-09-12		Isidro et al		IIb	hMPXV-1	B.1	0.9731046757500924	4606.0	590.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases
OP414364	OP414364	OP414364.1	Monkeypox/PT0333/2022	2022-05-27	Europe	Portugal			Homo sapiens	2022-09-12		Isidro et al		IIb	hMPXV-1	B.1	0.9810049237103784	2278.0	591.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases
ON585033	ON585033	ON585033.1	Monkeypox/PT0006/2022	2022-05-15	Europe	Portugal			Homo sapiens	2022-05-24		Isidro et al		IIb	hMPXV-1	B.1	0.9997008250130572	59.0	606.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
OP414376	OP414376	OP414376.1	Monkeypox/PT0347/2022	2022-05-26	Europe	Portugal			Homo sapiens	2022-09-12		Isidro et al		IIb	hMPXV-1	B.1	0.9545963926595642	8232.0	585.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases
OP422245	OP422245	OP422245.1	hMPXV-CH-38212023/2022	2022-05-30	Europe	Switzerland			Homo sapiens	2022-09-13		Laubscher et al		IIb	hMPXV-1	B.1	0.9583791814775188	8207.0	581.0	1.0	mediocre	good	good	good	good		False	Laubscher,F., Chudzinsk,V., Cordey,S., Schibler,M., Kaiser,L., Renzoni,A.	University Hospitals of Geneva, Laboratory of Virology
ON595760	ON595760	ON595760.2	MPXV-CH-38134631/2022	2022-05-19	Europe	Switzerland			Homo sapiens	2022-05-24		Laubscher et al		IIb	hMPXV-1	B.1	0.9977790060291366	301.0	602.0	1.0	good	good	good	good	good		False	Laubscher,F., Chudzinski,V., Schibler,M., Kaiser,L., Renzoni,A.	Laboratory of Viorology, University Hospital of Geneva, Switzerland
ON622720	ON622720	ON622720.2	MPXV-CH-38156923/2022	2022-05-24	Europe	Switzerland			Homo sapiens	2022-05-27		Laubscher et al		IIb	hMPXV-1	B.1	0.9990821919892094	181.0	605.0	0.0	good	good	good	good	good		False	Laubscher,F., Schibler,M., Kaiser,L., Renzoni,A.	Laboratory of Viorology, University Hospital of Geneva, Switzerland
ON631241	ON631241	ON631241.1	2022/2 SLO	2022-05-24	Europe	Slovenia			Homo sapiens	2022-05-30		Zakotnik et al		IIb	hMPXV-1	B.1	0.9994472868885296	0.0	606.0	0.0	good	good	good	good	good		False	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	Laboratory for Diagnostics of Zoonoses & WHO Centre, Institute of Microbiology & Immunology, Faculty of Medicine, University of Ljubljana, Slovenia
ON609725	ON609725	ON609725.2	SLO	2022-05-23	Europe	Slovenia			Homo sapiens	2022-05-26		Zakotnik et al		IIb	hMPXV-1	B.1.3	0.99945235765102	0.0	610.0	0.0	good	good	good	good	good		False	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Skubic,C., Rozman,D., Korva,M., Poljak,M., Avsic Zupanc,T.	Laboratory for Diagnostics of Zoonoses & WHO Centre, Institute of Microbiology & Immunology, Faculty of Medicine, University of Ljubljana, Slovenia
ON754987	ON754987	ON754987.1	MPXV_SI2022_S1_VEROE6	2022-05-23	Europe	Slovenia			Homo sapiens	2022-06-14		Zakotnik et al		IIb	hMPXV-1	B.1.3	1.0	0.0	610.0	0.0	good	good	good	good	good		False	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre
ON745215	ON745215	ON745215.1	INMI-Pt2	2022-05-19	Europe	Italy			Homo sapiens	2022-06-13		Giombini et al		IIb	hMPXV-1	B.1	0.9994219330760766	113.0	606.0	1.0	good	good	good	good	good		False	Giombini,E., Gruber,C.E.M., Rueca,M., Gramigna,G., VIta,S., Carletti,F., D'Abramo,A., Lapa,D., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Garbuglia,A.R., Nicastri,E., Antinori,A., GIrardi,E., Maggi,F.	INMI Lazzaro Spallanzani IRCCS, Laboratory of Virology
ON780016	ON780016	ON780016.1	INMI-Pt3	2022-05-19	Europe	Italy			Homo sapiens	2022-06-16		Rueca et al		IIb	hMPXV-1	B.1	0.9994117915510956	116.0	605.0	0.0	good	good	good	good	good		False	Rueca,M., Giombini,E., Gruber,C.E.M., Gramigna,G., Mazzotta,V., Carletti,F., Lapa,D., Pittalis,S., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Nicastri,E., Antinori,A., Girardi,E., Maggi,F.	INMI Lazzaro Spallanzani IRCCS, Laboratory of Virology
ON644344	ON644344	ON644344.1	MPXV_FVG-ITA_01_2022	2022-05-25	Europe	Italy	Friuli Venezia Giulia	Gorizia	Homo sapiens	2022-06-01		Licastro et al		IIb	hMPXV-1	B.1	0.9976928030667972	0.0	605.0	57.0	good	bad	good	good	good		False	Licastro,D., DeGasperi,M., Negri,C., Piscianz,E., Koncan,R., Dal Monego,S., Segat,L., D'Agaro,P.	Genomics & Epigenomics, AREA Science Park, Italy
ON614676	ON614676	ON614676.1	INMI-Pt1	2022-05-18	Europe	Italy			Homo sapiens	2022-05-26		Gruber et al		IIb	hMPXV-1	B.1	0.965315984564599	40.0	577.0	0.0	good	good	good	good	good		False	Gruber,C.E.M., Rueca,M., Gramigna,G., Carletti,F., Butera,O., Fabeni,L., Specchiarello,E., Meschi,S., Colavita,F., Minosse,C., Francalancia,M., Lapa,D., Garbuglia,A.R., Giombini,E.	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS, Italy
ON780017	ON780017	ON780017.1	INMI-Pt4	2022-05-21	Europe	Italy			Homo sapiens	2022-06-16		Gramigna et al		IIb	hMPXV-1	B.1.5	0.9997920987378872	41.0	606.0	0.0	good	good	good	good	good		False	Gramigna,G., Giombini,E., Gruber,C.E.M., Rueca,M., Carletti,F., Cicalini,S., Lapa,D., Puro,V., Marani,A., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Rivano Capparuccia,M., Specchiarello,E., Vairo,F., Vaia,F., Nicastri,E., Antinori,A., Girardi,E., Maggi,F.	INMI Lazzaro Spallanzani IRCCS, Laboratory of Virology
OP205114	OP205114	OP205114.1	MPXV_UK_2022_9000152	2022-05-16	Europe	United Kingdom			Homo sapiens	2022-08-11		Groves et al		IIb	hMPXV-1	B.1	1.0	0.0	605.0	0.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	UKHSA, Research and Evaluation
ON645312	ON645312	ON645312.1	MPXV_GSTT_Patient1	2022-05-11	Europe	United Kingdom			Homo sapiens	2022-06-01		Alcolea-Medina et al		IIb	hMPXV-1	B.1.3	0.9832664837811662	100.0	537.0	0.0	good	good	mediocre	bad	good	OPG021:231-243,OPG022:122-127,OPG044:149-150,OPG050:73-76,OPG054:145-440,OPG061:50-232,OPG063:66-480,OPG064:262-738,OPG075:76-109,OPG078:57-74,OPG082:363-383,OPG084:11-677,OPG085:566-592,OPG092:352-372,OPG097:267-345,OPG104:61-134,OPG105:282-1287,OPG109:117-683,OPG114:11-147,OPG117:502-786,OPG122:107-249,OPG123:571-632,OPG124:206-288,OPG125:500-552,OPG133:145-711,OPG136:878-892,OPG138:7-191,OPG145:15-493,OPG149:186-188,OPG151:3-1165,OPG154:58-111,OPG155:9-147,OPG164:228-229,OPG170:219-222,OPG173:35-75,OPG180:244-553,OPG188:437-504,OPG191:167-169,OPG193:264-268,OPG197:43-101,OPG198:230-283,OPG209:179-191	False	Alcolea-Medina,A., Charalampous,T., Snell,L.B., Batra,R., Edgeworth,J.D.	Centre for Clinical Infection & Diagnostics Research, Kings College London, St Thomas Hospital, UK
OP022170	OP022170	OP022170.1	MPXV_UK_2022_5	2022-05-16	Europe	United Kingdom			Homo sapiens	2022-07-20		Groves et al		IIb	hMPXV-1	B.1	0.999487852988454	101.0	606.0	0.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	UKHSA, Research and Evaluation
ON619838	ON619838	ON619838.2	MPXV_UK_2022_4	2022-05-XX	Europe	United Kingdom			Homo sapiens	2022-05-27		Groves et al		IIb	hMPXV-1	B.1	0.999579126713284	83.0	607.0	0.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.	Research & Evaluation, UKHSA, UK
ON619836	ON619836	ON619836.2	MPXV_UK_2022_2	2022-05-XX	Europe	United Kingdom			Homo sapiens	2022-05-27		Groves et al		IIb	hMPXV-1	B.1	0.9995081360384162	97.0	607.0	0.0	good	good	good	good	good		False	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.	Research & Evaluation, UKHSA, UK
ON808416	ON808416	ON808416.1	CVR_MPXV1d	2022-05-15	Europe	United Kingdom			Homo sapiens	2022-06-21		Filipe et al		IIb	hMPXV-1	B.1	0.9999949292375094	0.0	605.0	1.0	good	good	good	good	good		False	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	
ON880421	ON880421	ON880421.1	MPX/UZ_REGA_5/Belgium/2022	2022-05-27	Europe	Belgium			Homo sapiens	2022-06-30		Vanmechelen et al		IIb	hMPXV-1	B.1	0.998960493689436	0.0	606.0	0.0	good	good	good	good	good		False	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.	
ON622713	ON622713	ON622713.1	MPX/UZ_REGA_2/Belgium/2022	2022-05-22	Europe	Belgium			Homo sapiens	2022-05-27		Wawina-Bokalanga et al		IIb	hMPXV-1	B.1	1.0	0.0	608.0	0.0	good	good	good	good	good		False	Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P.	Microbiology, Immunology & Transplantation, KU Leuven, Rega Institute, Belgium
ON880419	ON880419	ON880419.1	MPX/UZ_REGA_3/Belgium/2022	2022-05-27	Europe	Belgium			Homo sapiens	2022-06-30		Wawina-Bokalanga et al		IIb	hMPXV-1	B.1	1.0	0.0	606.0	0.0	good	good	good	good	good		False	Wawina-Bokalanga,T., Vanmechelen,B., Logist,A.-S., Sinnesael,R., Ysebaert,L., Bloemen,M., Maes,P.	
ON880420	ON880420	ON880420.1	MPX/UZ_REGA_4/Belgium/2022	2022-05-27	Europe	Belgium			Homo sapiens	2022-06-30		Vanmechelen et al		IIb	hMPXV-1	B.1	1.0	0.0	606.0	0.0	good	good	good	good	good		False	Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Van Holm,B., Bloemen,M., Maes,P.	
OP144216	OP144216	OP144216.2	MPXV/ITM_pt_07/Belgium/30-May-2022	2022-05-30	Europe	Belgium			Homo sapiens	2022-08-04		De Baetselier et al		IIb	hMPXV-1	B.1	0.966401127737578	246.0	579.0	0.0	good	good	good	good	good		False	De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., den Bossche,D.V., Florence,E., Rezende,A.M., Vercauteren,K., Esbroeck,M.V., Bracke,S., Brosius,I., Soentjens,P.	Institute of Tropica Medicine, Department of Clinical Sciences
ON950045	ON950045	ON950045.2	MPXV/ITM_pt_31/Belgium/27-May-2022	2022-05-27	Europe	Belgium			Homo sapiens	2022-07-08		De Baetselier et al		IIb	hMPXV-1	B.1.3	0.9655390981141836	408.0	580.0	0.0	good	good	good	good	good	OPG159:134-146	False	De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., Van den Bossche,D., Florence,E., Rezende,A.M., Vercauteren,K., Van Esbroeck,M.	Institute of Tropica Medicine, Department of Clinical Sciences
ON838940	ON838940	ON838940.1	4061	2022-05-20	Europe	Spain	Madrid		Homo sapiens	2022-06-24	SRR19793483, SRR19793482	de la Hoz-Sanchez et al		IIb	hMPXV-1	B.1	0.9993002347763034	138.0	604.0	0.0	good	good	good	good	good		False	de la Hoz-Sanchez,B., Lopez-Ortiz,M., Gutierrez-Arroyo,A., Roces-Alvarez,P., Lazaro-Peona,F., Dahdouh,E., Bloise,I., Garcia-Rodriguez,J., Mingorance,J.	
ON622718	ON622718	ON622718.1	MPXV/ES0001/HUGTiP/2022	2022-05-20	Europe	Spain			Homo sapiens	2022-05-27		Martinez-Puchol et al		IIb	hMPXV-1	B.1.8	0.9854164870771618	2187.0	600.0	1.0	good	good	good	mediocre	good	OPG025:386-631,OPG159:111-146,OPG189:9-562	False	Martinez-Puchol,S., Coello,A., Bordoy,A.E., Soler,L., Panisello,D., Gonzalez-Gomez,S., Clara,G., Paris de Leon,A., Not,A., Hernandez,A., Bofill-Mas,S., Saludes,V., Blanco,I., Martro,E., Cardona,P.-J.	Microbiology, Hospital Universitari Germans Trias i Pujol, Spain
ON782055	ON782055	ON782055.1	MPXV/Spain/HUNSC_ITER_0001b/2022	2022-05-31	Europe	Spain			Homo sapiens	2022-06-16		Alcoba-Florez et al		IIb	hMPXV-1	B.1.3	0.9990720504642284	182.0	609.0	1.0	good	good	good	good	good		False	Alcoba-Florez,J., Munoz-Barrera,A., Ciuffreda,L., Rodriguez-Perez,H., Rubio-Rodriguez,L.A., Gil-Campesino,H., Garcia-Martinez de Artola,D., Inigo-Campos,A., Diez-Gil,O., Gonzalez-Montelongo,R., Valenzuela-Fernandez,A., Lorenzo-Salazar,J.M., Flores,C.	
OP120937	OP120937	OP120937.1	MP01CHUAC	2022-05-XX	Europe	Spain			Homo sapiens	2023-01-18		Aja-Macaya et al		IIb	hMPXV-1	B.1	1.0	0.0	606.0	0.0	good	good	good	good	good		False	Aja-Macaya,P., Rumbo-Feal,S., Poza,M., Canizares,A., Vallejo,J.A., Bou,G.	Biomedical research institute (INIBIC), Microbiology
ON782054	ON782054	ON782054.1	MPXV/Spain/HUNSC_ITER_0001a/2022	2022-05-31	Europe	Spain			Homo sapiens	2022-06-16		Alcoba-Florez et al		IIb	hMPXV-1	B.1.3	0.9672834404109346	64.0	579.0	0.0	good	good	good	good	good		False	Alcoba-Florez,J., Munoz-Barrera,A., Ciuffreda,L., Rodriguez-Perez,H., Rubio-Rodriguez,L.A., Gil-Campesino,H., Garcia-Martinez de Artola,D., Inigo-Campos,A., Diez-Gil,O., Gonzalez-Montelongo,R., Valenzuela-Fernandez,A., Lorenzo-Salazar,J.M., Flores,C.	
ON720849	ON720849	ON720849.1	MpxV/Spain/MD-HGUGM-6532064/2022	2022-05-27	Europe	Spain			Homo sapiens	2022-06-09		Buenestado-Serrano et al		IIb	hMPXV-1	B.1.8	0.99808325177857	377.0	605.0	1.0	good	good	good	bad	good	NBT03_gp052:9-130,NBT03_gp174:175-177,OPG023:386-661,OPG025:50-631,OPG027:96-151,OPG044:149-150,OPG050:73-76,OPG054:145-440,OPG056:354-636,OPG057:113-373,OPG061:50-232,OPG063:64-480,OPG074:365-666,OPG075:76-109,OPG078:57-74,OPG084:11-677,OPG087:98-221,OPG088:43-91,OPG097:267-345,OPG102:32-124,OPG102:234-334,OPG104:61-134,OPG109:117-453,OPG114:11-147,OPG115:45-234,OPG117:678-786,OPG123:571-632,OPG124:206-288,OPG126:29-151,OPG127:40-225,OPG129:12-645,OPG133:317-711,OPG134:88-293,OPG136:878-892,OPG138:7-191,OPG145:15-493,OPG148:422-427,OPG149:18-188,OPG151:3-1032,OPG154:58-111,OPG155:9-147,OPG163:88-177,OPG165:238-269,OPG172:191-197,OPG178:159-205,OPG180:244-560,OPG189:88-108,OPG190:172-318,OPG193:264-268,OPG195:45-222,OPG198:230-283,OPG208:228-358,OPG209:179-191,OPG210:431-1881	False	Buenestado-Serrano,S., Palomino-Cabrera,R., Penas-Utrilla,D., Rodriguez-Grande,J., Sola Campoy,P., Perez-Lago,L., Rodriguez-Grande,C., Herranz Martin,M., Suarez,J., Catalan,P., Munoz,P., Garcia de Viedma,D.	Microbial Genomics, Hospital General Universitario Gregorio Marañón, Madrid, Spain
ON755040	ON755040	ON755040.1	MPXV_IRBA22-14	2022-05-20	Europe	France			Homo sapiens	2022-06-14		Jarjaval et al		IIb	hMPXV-1	B.1	0.9954819506209148	49.0	603.0	0.0	good	good	good	good	good		False	Jarjaval,F., Nolent,F., Criqui,A., Chapus,C., Lamer,O., Ferraris,O., Gorge,O.	
ON755039	ON755039	ON755039.1	MPXV_IRBA22-11	2022-05-19	Europe	France			Homo sapiens	2022-06-14		Jarjaval et al		IIb	hMPXV-1	B.1	0.9923025825393365	0.0	600.0	0.0	good	good	good	good	good		False	Jarjaval,F., Nolent,F., Criqui,A., Chapus,C., Lamer,O., Ferraris,O., Gorge,O.	
ON622722	ON622722	ON622722.2	MPXV_FR_HCL0001_2022	2022-05-22	Europe	France			Homo sapiens	2022-05-27		?		IIb	hMPXV-1	B.1.3	1.0	0.0	610.0	0.0	good	good	good	good	good		False		Virology, GENomique EPIdemiologique das maladies Infectieuses, France
ON880524	ON880524	ON880524.1	MpxV/human/CAN/UN-NML-3080/2022	2022-05-26	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		IIb	hMPXV-1	B.1	0.9006739043349948	19588.0	549.0	0.0	mediocre	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	National Microbiology Laboratory, Public Health Agency of Canada
