"","strain_original","accession","authors","institution","date"
"11","MPXV_2022_NL001","ON615424","Oude Munnink,B.B., Boter,M., Wellers,B., Molenkamp,R., Sikkema,R.S., Koopmans,M.","Public Health Virology, Erasmus Medical Centre, The Netherlands","2022-05-XX"
"12","Monkeypox/PT0403/2022","OP555499","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-19"
"13","NY-NYCPHL-001119","OQ469288","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-07"
"14","MPXV_UK_2022_9000178","OP205127","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-06-27"
"15","MPX_OSmnPq_9000278","OP415240","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-08-XX"
"16","MPXV_USA_2022_IL0020","OP225962","Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.","CDC, DHCPP-PRB","2022-06-XX"
"17","MPXV/Germany/2022/RKI044","ON755250","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","","2022-06-XX"
"18","MPXV/Germany/2022/RKI084","ON853666","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","","2022-06-XX"
"19","MPXV/Germany/2022/ON/RKI449","OP615325","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"20","MpxV/human/CAN/UN-NML-3440/2022","OP586622","Duggan,A., Hole,D., Yadav,C., Knox,N., Haidl,E., Chapel,M., Tyler,A.D., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Kaplen,B., Antonation,K., Laminman,V., Jolly,G., Croxen,M., Deo,A., Dieu,P., Dong,X., Gill,K., Granger,D., Ferrato,C., Ikkurti,V., Kanji,J., Koleva,P., Li,V., Lloyd,C., Lynch,T., Ma,R., Pabbaraju,K., Rotich,S., Sergeant,H., Skitsko,T., Tipples,G., Thayer,J., Shideler,S., Wong,A.","National Microbiology Laboratory, Public Health Agency of Canada","2022-06-06"
"21","Monkeypox virus/Human/USA/CA-LACPHL-MA00216/2022","OP680494","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-13"
"22","MpxV/human/USA/WA-UW-085462/2022","OP392547","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-08-XX"
"23","MPXV-USA-IL-IDPH-050","OP536711","Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry","2022-06-24"
"24","MPXV-USA-IL-IDPH-043","OP536704","Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry","2022-06-22"
"25","MpxV/human/USA/WA-UW-098497/2022","OP681775","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-09-XX"
"26","MPXV/Germany/2022/RKI432","OP594196","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"27","MPXV/Germany/2022/RKI434","OP594198","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"28","MPXV/Germany/2022/RKI01","ON637938","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany","2022-05-XX"
"29","Monkeypox/PT0047/2022","ON843177","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","","2022-06-02"
"30","MPXV/Germany/2022/RKI070","ON929057","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","","2022-07-XX"
"31","MPXV/Germany/2022/RKI085","ON853667","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","","2022-06-XX"
"32","NY-NYCPHL-001160","OQ469303","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-08"
"33","hMpxV/USA/CA-CDPH-1MPX1000096/2022","OQ348845","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-07-10"
"34","Monkeypox/PT0282/2022","OP414321","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-12"
"35","MPXV/Human/USA/CA-LACPHL-MA00435/2022","OQ503809","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-09-08"
"36","MPXV_USA_2022_MA0153","OP890502","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"37","MpxV/human/CAN/UN-NML-2969/2022","ON803444","Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada","2022-05-24"
"38","MPX_3U0idu_9000254","OP415224","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-08-XX"
"39","NY-NYCPHL-000903","OQ468685","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-07"
"40","NY-NYCPHL-000517","OQ504455","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-25"
"41","MPXV-USA-IL-IDPH-078","OP536739","Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry","2022-06-30"
"42","MPXV/Germany/2022/RKI096","ON853675","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","","2022-06-XX"
"43","Monkeypox/PT0039/2022","ON843179","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","","2022-06-02"
"44","NY-NYCPHL-000602","OQ419045","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-01"
"45","MPXV_USA_2022_MA0092","OP890447","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"46","NY-NYCPHL-000990","OQ468706","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-11"
"47","MPXV_USA_2022_MA0177","OP890522","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"48","NY-NYCPHL-000407","OQ504430","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-24"
"49","MPXV/Germany/2022/RKI331","OP373389","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"50","Monkeypox/PT0382/2022","OP555478","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-12"
"51","MPXV/Germany/2022/RKI578","OP837340","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-06-XX"
"52","MPXV/Germany/2022/ON/RKI503","OP689656","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"53","RNA","OX291424","","Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava","2022-07-25"
"54","NY-NYCPHL-000574","OQ469207","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-26"
"55","MPXV_USA_2022_MA0019","OP890377","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"56","hMPX/Human/USA/CA-LACPHL-MA00062/2022","OP440604","Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-08-08"
"57","hMpxV/USA/CA-CDPH-1MPX1000099/2022","OQ348848","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-07-06"
"58","MPXV/Human/USA/CA-LACPHL-MA00462/2023","OQ503845","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2023-01-30"
"59","hMPX/Human/USA/CA-LACPHL-MA00028/2022","OP440537","Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-27"
"60","MpxV/human/USA/WA-UW-074949/2022","OP184762","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-07-XX"
"61","Monkeypox virus/Human/USA/CA-LACPHL-MA00372/2022","OQ330972","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-10-18"
"62","MPXV/Human/USA/CA-LACPHL-MA00426/2022","OQ503819","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-12-14"
"63","MPXV/Germany/2022/RKI476","OP626114","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"64","MPXV_USA_2022_TN0013","OQ320507","Gigante,C., Thomas,L., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Dunn,J., Li,Y.","CDC, DHCPP-PRB","2022-09-XX"
"65","MPXV_UK_2022_9000140","OP205104","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-07-06"
"66","MPXV/Germany/2022/RKI261","OP215280","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"67","MPXV/Germany/2022/RKI283","OP270472","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Friesen,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"68","MPXV/Germany/2022/ON/RKI662","OQ274881","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-05-XX"
"69","MPXV_USA_2022_DC0025","OQ427138","Gigante,C., Hauser,J., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mangla,A., Li,Y.","CDC, DHCPP-PRB","2022-09-XX"
"70","Monkeypox/PT0190/2022","OP324504","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-28"
"71","MPXV/Human/USA/CA-LACPHL-MA00424/2022","OQ503817","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-12-05"
"72","Monkeypox/PT0196/2022","OP324509","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-27"
"73","MPXV/Human/USA/CA-LACPHL-MA00421/2022","OQ503814","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-12-03"
"74","9000384","OP536763","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-08-XX"
"75","ANT-LDSP-ANT-MPX-28220C","OQ261700","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-10-13"
"76","NY-NYCPHL-001013","OQ469218","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-06"
"77","MPXV/Germany/2022/RKI088","ON853655","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","","2022-06-XX"
"78","MPXV/Germany/2022/RKI493","OP626131","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"79","NY-NYCPHL-000768","OQ468651","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-11"
"80","MPXV/Human/USA/CA-CDPH-MPX000012/2022","OP587242","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-06-22"
"81","ANT-LDSP-ANT-MPX-24939C","OP642398","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-09-12"
"82","MPXV_USA_2022_MA0172","OP890519","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"83","ANT-LDSP-ANT-MPX-23106-L","OP477448","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-08-22"
"84","NY-NYCPHL-001139","OQ468597","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-06"
"85","MPXV/Germany/2022/RKI182","OP018605","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"86","NY-NYCPHL-000992","OQ468707","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-08"
"87","MPXV_USA_2022_FL0020","OP604531","Gigante,C.M., Lee,P., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Knipe,K., Burroughs,S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Stanek,D., Li,Y.","CDC, DHCPP-PRB","2022-07-XX"
"88","NY-NYCPHL-000029","OQ504382","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-25"
"89","MPXV/Germany/2022/RKI492","OP626130","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"90","ANT-LDSP-ANT-MPX-24947E","OP642401","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-09-12"
"91","NY-NYCPHL-000904","OQ468686","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-07"
"92","NY-NYCPHL-000412","OQ468500","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-29"
"93","Monkeypox/PT0017/2022","ON649715","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal","2022-05-20"
"94","NY-NYCPHL-000851","OQ468672","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-14"
"95","NY-NYCPHL-001174","OQ469309","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-07"
"96","NY-NYCPHL-000733","OQ468638","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-19"
"97","hMpxV/UK/LMO-046a/2022","OP390205","McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E.","Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory","2022-07-26"
"98","MPXV_USA_2022_MA0093","OP890448","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"99","NY-NYCPHL-001111","OQ469282","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-05"
"100","MPXV/Germany/2022/RKI237","OP215261","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"101","MpxV/human/USA/WA-UW-096615/2022","OP747052","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-09-XX"
"102","MPXV_USA_2022_MN0004","OP603004","Gigante,C.M., Plumb,M., Ruprecht,A., Zhao,H., Wicker,V., Wilkins,K., Matheny,A., Khan,T., Davidson,W., Sheth,M., Burgin,A., Burroughs,M., Padilla,J., Lee,J.S., Batra,D., Hetrick,E.E., Howard,D.T., Garfin,J., Tate,L., Hubsmith,S.J., Mendoza,R.M., Stanek,D., Gillani,S., Lee,M., Mangla,A., Blythe,D., SierraPatev,S., Carpenter-Azevedo,K., Huard,R.C., Gallagher,G., Hall,J., Ash,S., Kovar,L., Seabolt,M.H., Weigand,M.R., Damon,I., Satheshkumar,P.S., McCollum,A.M., Hutson,C.L., Wang,X., Li,Y.","CDC, DHCPP-PRB","2022-07-XX"
"103","Monkeypox/MX-UANL001/2022","ON911481","Galan-Huerta,K.A., Paz-Infanzon,M., Ruiz-Higareda,A.F., Nuzzolo-Shihadeh,L., Camacho-Ortiz,A., Bocanegra-Ibarias,P., Rivas-Estilla,A.M., Zacarias-Villarreal,D., Yamallel-Ortega,L.A., Guerrero-Putz,M.D., Ocampo-Candiani,J.","","2022-06-28"
